step,fixed_random_projection,trainable_random_projection,direct_trainable_R
1,0.0030164960771799088,0.003020599950104952,0.0030164960771799088
2,0.002997185569256544,0.0030131107196211815,0.0027215424925088882
3,0.00297899660654366,0.002996995346620679,0.002445670310407877
4,0.0029619471170008183,0.0029595454689115286,0.0021886820904910564
5,0.0029460492078214884,0.0028983361553400755,0.0019509774865582585
6,0.002931312657892704,0.0028132847510278225,0.0017323739593848586
7,0.0029177404940128326,0.002704890677705407,0.0015322798863053322
8,0.002905330155044794,0.0025740363635122776,0.0013501130742952228
9,0.002894073724746704,0.002422245452180505,0.0011852954048663378
10,0.0028839553706347942,0.002251838566735387,0.0010371531825512648
11,0.0028749522753059864,0.002065889537334442,0.0009049020009115338
12,0.0028670348692685366,0.0018684414681047201,0.0007877156604081392
13,0.002860164502635598,0.001664805575273931,0.0006847231416031718
14,0.002854295074939728,0.0014613636303693056,0.0005949277547188103
15,0.0028493725694715977,0.0012651121942326427,0.0005171691300347447
16,0.0028453355189412832,0.0010831609833985567,0.0004501774674281478
17,0.002842114306986332,0.0009221616783179343,0.0003926714416593313
18,0.00283963605761528,0.0007872256101109087,0.00034340532147325575
19,0.0028378195129334927,0.0006808220641687512,0.0003011734806932509
20,0.0028365824837237597,0.0006017238483764231,0.0002648304798640311
21,0.002835838822647929,0.0005447705625556409,0.00023334940487984568
22,0.002835504012182355,0.0005022588884457946,0.00020587696053553373
23,0.0028354949317872524,0.0004658882098738104,0.0001817354204831645
24,0.002835731953382492,0.0004286874900572002,0.00016038664034567773
25,0.002836140338331461,0.00038659991696476936,0.00014140288112685084
26,0.0028366537299007177,0.0003388207405805588,0.0001244601735379547
27,0.002837213221937418,0.00028707284945994616,0.0001093282044166699
28,0.002837768755853176,0.0002345364773645997,9.583685459801927e-05
29,0.0028382812160998583,0.00018497604469303042,8.383884414797649e-05
30,0.002838719403371215,0.00014197071141097695,7.319638825720176e-05
31,0.002839063061401248,0.00010809084778884426,6.37889897916466e-05
32,0.0028392996173352003,8.435534255113453e-05,5.551652793656103e-05
33,0.002839424880221486,7.019304030109197e-05,4.828785313293338e-05
34,0.002839441644027829,6.38514175079763e-05,4.201190677122213e-05
35,0.00283935759216547,6.298474181676283e-05,3.6602854379452765e-05
36,0.002839184831827879,6.515244604088366e-05,3.198726335540414e-05
37,0.002838938497006893,6.815712549723685e-05,2.8097958420403302e-05
38,0.002838635118678212,7.025645754765719e-05,2.4861321435309947e-05
39,0.0028382926248013973,7.028818799881265e-05,2.2194255507201888e-05
40,0.0028379280120134354,6.77157731843181e-05,2.0011721062473953e-05
41,0.0028375571127980947,6.257896893657744e-05,1.8231205103802495e-05
42,0.0028371945954859257,5.536291791941039e-05,1.677047839621082e-05
43,0.0028368523344397545,4.683213046519086e-05,1.5548492228845134e-05
44,0.0028365401085466146,3.787438981817104e-05,1.4494049537461251e-05
45,0.002836264204233885,2.9372828066698276e-05,1.3552675227401778e-05
46,0.002836029976606369,2.2093385268817656e-05,1.2684735338552855e-05
47,0.002835839055478573,1.6575237168581225e-05,1.1860600352520123e-05
48,0.002835690975189209,1.304216857533902e-05,1.1060370525228791e-05
49,0.0028355836402624846,1.137469462264562e-05,1.0274752639816143e-05
50,0.0028355135582387447,1.1166453987243585e-05,9.5012446763576e-06
51,0.002835475141182542,1.1845808330690488e-05,8.738970791455358e-06
52,0.00283546419814229,1.2814300134778023e-05,7.988336619746406e-06
53,0.002835473045706749,1.356433676846791e-05,7.25343943486223e-06
54,0.0028354977257549763,1.3763039532932453e-05,6.5416679717600346e-06
55,0.0028355317190289497,1.3295129065227229e-05,5.861022145836614e-06
56,0.002835569204762578,1.2252976375748403e-05,5.219648301135749e-06
57,0.0028356071561574936,1.0870428923226427e-05,4.626738700608257e-06
58,0.0028356416150927544,9.425220923731104e-06,4.0910181269282475e-06
59,0.00283567002043128,8.150873327394947e-06,3.6176288631395437e-06
60,0.0028356900438666344,7.1860686148284e-06,3.207444706276874e-06
61,0.002835702383890748,6.562932867382187e-06,2.8583899620571174e-06
62,0.002835705177858472,6.221712283149827e-06,2.565803697507363e-06
63,0.002835700288414955,6.04097704126616e-06,2.3222733034344856e-06
64,0.0028356879483908415,5.87754357184167e-06,2.119102191500133e-06
65,0.0028356704860925674,5.608412266155938e-06,1.9484793938318035e-06
66,0.002835647901520133,5.162606157682603e-06,1.803921122700558e-06
67,0.002835622988641262,4.533678293228149e-06,1.679708702795324e-06
68,0.002835596911609173,3.7716474707849557e-06,1.571102529851487e-06
69,0.002835571300238371,2.962178996313014e-06,1.4747031400474953e-06
70,0.0028355468530207872,2.20192805500119e-06,1.3877515812055208e-06
71,0.0028355249669402838,1.5757896107970737e-06,1.3074086382403038e-06
72,0.0028355063404887915,1.1384454410290346e-06,1.2311389809838147e-06
73,0.0028354909736663103,9.030353567140992e-07,1.157154883912881e-06
74,0.0028354795649647713,8.408883900301589e-07,1.0841488347068662e-06
75,0.0028354714158922434,8.932387913773709e-07,1.011117205962364e-06
76,0.0028354665264487267,9.904687203743379e-07,9.377008609590121e-07
77,0.00283546419814229,1.0709640037021018e-06,8.641311524115736e-07
78,0.00283546419814229,1.0938898640233674e-06,7.907009944574384e-07
79,0.0028354660607874393,1.0445339739817427e-06,7.176225835792138e-07
80,0.0028354686219245195,9.329959880233218e-07,6.452624461417145e-07
